Title,rev_wrap,Field2
Grilled Roman Artichoke starter,Date of visit: August 2020,Grilled Roman Artichoke starter was incredible! Lovely even spent here for my birthday and dined al fresco thanks to COVID which was surprisingly great too! Highly recommend for vegans in London!
Amazing Veggie & Vegan menu,Date of visit: August 2020,"Visiting London for the weekend, The food was amazing, so good we’ve booked to go back again the next night, great choice of cocktails, the Spiced Pineapple Negroni was perfectly balanced. Very friendly staff and very covid safe."
Love love love!!,Date of visit: August 2020,Have always loved Mildred's and was so happy to visit post-lockdown. The food is just as fantastic and all the appropriate measures are in place to keep everyone safe.
Lunch,Date of visit: July 2020,"Came here for lunch after researching on google for vegetarian/vegan restaurant in soho to take my bf as he is vegetarian. The restaurant itself it’s a pretty place and the menu sounds interesting. We had a couple of main courses which were ok. My bf ordered kebab skewers. Those consisted in a few pieces of grilled vegetarian chicken and onion. Problem was the onion-chicken ratio wasn’t balanced at all. Therefore he didn’t enjoy it much as he doesn’t like onions. I am pretty sure it wasn’t specified on the menu, otherwise he would have chosen something else. My curry was nice thou. The sauce was rich and it was cooked really well. There was a crunchy element as well, it added a nice kick.Service was alright, they told us that the restaurant was busier then expected, but we didn’t wait long for our drinks/food and neither to pay. I’d say that, for what we had, the price is slightly on the high side. I am sure that a vegetarian/vegan person would enjoy this place very much, thou it didn’t really impress us. Said that, I would give it another try, it might have been just bad luck. I really enjoyed my curry."
Delicious,Date of visit: July 2020,Went here for my partner’s birthday. Excellent service throughout. Either order the old-fashioned way with the server or via the new online system. Both work very well.The food was delicious as ever and a very good choice. The new reservation system is also appreciated rather than the old system of simply turning up and hoping for a table.
Post lockdown vegan meals,"<img src=""https://media-cdn.tripadvisor.com/media/photo-l/1b/a6/0b/fa/20200728-174415-largejpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""463866874"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/1b/a6/0b/fb/20200728-174417-largejpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""463866875"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/1b/a6/0b/fc/20200728-174547-largejpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""463866876"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/1b/a6/0b/fd/20200728-175549-largejpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""463866877"" /> >",Gona start by saying that due to the lockdown they were very cautious and used a temperature gun before allowing us inside so if anyones worrying they checking.Now the food was delicous i grabbed the chick'n in a brioche bun and added some cheese (mature) and some sweet potato fries and the other meal was one the salad bowls... Maybe a bit steep in price overall but for the restairant experience and the quality of the food i was happy. The venue is situated in the heart of Camden High Street and is very spacious and has seat externally aswel. Menus included in photosThey can cater for your needs as they did for me explained that I cpuldnt eat certain foods snd they removed from and didnt include while cooking.
Food is incredibly delicious!,"<img src=""https://media-cdn.tripadvisor.com/media/photo-l/1b/9c/2c/5b/photo0jpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""463219803"" /> >",Food is incredibly delicious! Friendly staff and a very cosy place. I’ll pay it a visit again very soon. Highly recommended.
Incredible delicious starters and main,Date of visit: March 2020,"We were three and had four starters: the mushroom balls (porcini arancini, white truffle oil, porcini, chestnut mushroom risotto on porcini cream); the hazelnut dukkah (warm heirloom carrots, orange dressing, whipped tahini, soft herbs, pomegranate); the gyoza dumplings (shimeji mushrooms, chilli bean oil & tamara dip), the charred artichokes (with crostini and aioli); the mole frijoles, tomatillo salsa, greek style vegan 'cheese', corn chips and one main: the levant chicken kebabs served with Persian lime butterbeans, fennel, preserved lemon, spinach and whipped tahini.Plentiful and all succulent. All the starters we chose ranged in price between 5 and 6 GBP and the main was 12 GBP.Great competition to Farmacy which I place at the top because Famacy goes a step further understanding that processed white sugar is the most unhealthy ingredient one could put in desserts. Unfortunately, Milfred’s does use white processed sugar in their desserts. Hopefully they will change for the healthy option in the near future!However their starters and mains are incredibly delicious."
Great food!,Date of visit: February 2020,We visited on February 5th 2030 for my brother’s birthday and had a great time. The food was delicious (especially the red velvet brownie) and hospitality great as always.It’s w shame that you have had to close for now due to the current situation but we will definitely return when you are able to re-open.
Sunday Lunch Perfection,Date of visit: March 2020,"A rainy trip to London was made very bearable by the delicious, ethical fare; outstanding service and cosy ambience of the wonderful Mildred's. I introduced a 'hippie' friend on this occasion, who was incredibly impressed and loathe to leave whilst she could continue to feast her senses by regarding every plate served to adjacent tables!We had mains of fake duck buns, sides of sweet potato fries and dessert of orange pistachio cake with orange sorbet; as well as the chocolate cherry lava cake. I am salivating as I recall the tastes and textures...Service was provided by a handsome, consumate, funny and attentive gentleman.Bill was around £50. Perfect."
,,
"Great food, every time",Date of visit: February 2020,"We are based oversee but always ensure we get to go to Mildred's when in London. The food always hit the spot (including for non-vegetarians like me), nice selection of wines and beers to go with the regular changing menu. The dishes take inspiration form dishes all over the world, adding the restaurants own touch to it."
Amazing - good for group as well as small tables,Date of visit: March 2020,"i just wanted to promote their ability to deal with large groups. We took over their lovely private dining room on Friday night (it can fit 14 people) and they were so accommodating, Food was excellent (as ever) and service with a smile.One to keep in mind if you need to book a big table in the future."
Worth the wait,Date of visit: February 2020,"First of all, we had to put our names down and were said that they table will be ready in an hour. We went for a walk around and around 20 mins later got the text that our table was already ready!It’s quite noisy there bc the place itself is not very big so everyone is sitting super close. However, the food was so worth it! Everything was top notch and if it’s something you like - the ‘meat’ tastes just like the real deal!"
Incredible Food,Date of visit: January 2020,"the food here was incredible. i'm not a vegan, and was interested to try things like vegan cheese for the first time. everything was so flavoursome.You have to wait a good while for a table but its absolutely worth it. really friendly staff too."
Delicious,Date of visit: February 2020,"The place was very busy, but to our surprise they had extra seating upstairs and could accommodate 3 of us without booking. We enjoyed delicious vegan food with a great choice, especially because I’m the only veggie. Dessert was yummy. Good atmosphere and attentive staff. Will definitely return. Good value too."
Can't fault this restaurant in any way.,Date of visit: February 2020,Had a great evening with my family here. As a non veggie surrounded by veggie youth I'm used to seeing the lack of choice often given to them. The food and the service was excellent. Went for the Polish burger which was fantastic. The queuing system is great and allowed us to pop out to a local boozer (The Old Coffee house) before being seated.
Amazing experience,Date of visit: February 2020,This is my favourite restaurant in London. Such a great welcome. Feel right at home here! What an amazing team and delicious food. My go to place in Soho!
Just as good as twenty years ago,Date of visit: February 2020,"First visit since the mid 90s. I’ve literally not forgotten some of the food I had over twenty years ago, and the food today was just as good. Mostly vegan (which is a nice change), great selection, and all the food was really brilliant. I just wish we could visit more often."
Everything tasted really good - and was well served,Date of visit: February 2020,"Having been to Mildreds in Dalston I had high expectations of the Soho branch - and I was not disappointed.I was the guest of a former colleague and his wife, both Veggies from out of town, to whom I had recommended this as a different experience - they were bowled over.We each chose different dishes as starters and mains and each said we had chosen well - no-one was the slightest disappointed.Yes - it is small and a bit noisey but the food and service more than compensates for that.Would I go again - as a non-Veggie - YES! Who needs meat when the alternative is so good? Not me."
"Buzzy, noisy, and yummy",Date of visit: February 2020,Quaint vegetarian restuarant. Very small premises and tables are qutie squashed. Full and buzzy but conversation was difficult as the noise levels were high. Service was graceful and speedy. Food was really nice - lots of variety and good vegetarian fare. Worth a visit - ideally at a quieter time - but the popularity of this little hideway will make that quite a challenge.
,,
Fabulous pre-theatre meal!,Date of visit: February 2020,"You don’t need to be vegetarian to eat here - the food and atmosphere are great. We went for a pre-theatre meal and it was perfect!No booking, and always busy so either go early or be prepared to queue - everyone went away raving about it!"
excellent food and dessert,Date of visit: February 2020,"Neither me nor my boyfriend are vegans, but we visited earlier today and we were really impressed. We loved the food, and especially the dessert (caramel cheesecake...). It didn't take long time before we got what we ordered, and the employees were nice. The only thing that lowered our impression was one waitress forgetting that we ordered another drink. We also got some bread and olives at our table, and we thought it was served based on pure courtesy, but when we got the check we had to pay for that as well. It was maybe just a misunderstanding, and maybe the bread and the olives ended up at the wrong table, I don't know. Either way, I still ended up having a really good evening."
Good vegan in an excellent,>,Good vegan in an excellent little restaurant - not my first visit. Not my last one either. The place is larger than it thought and includes upstairs. Up it is more quiet and cosy but still good service. At bit disappointed with my Bowl. Next time I will choose the burgers
Lovely place- impressed!,Date of visit: February 2020,Group of 4 of us (non of us vegan) visited Saturday night and we were very impressed. Great service and good atmosphere but most of all the food was all really good. Good overall value for money too including drinks. Definitely recommend it and hopefully get to go back next time we are in London.
Lovely anniversary dinner,Date of visit: February 2020,"My partner and myself went to Mildred's for the first time as a little anniversary treat. Everything was delicious and the atmosphere was buzzing! The service was fab, the bar staff recommend a wine that was just perfect for me. The no-duck in the baguette was so amazing and the noodle dish I had was divine. This place definitely suitable for vegetarians, vegans and Omni's and I assure you won't miss the lack of meat. Decent price for a tasty dinner too, £50 for two starters, two mains and two drinks, including service charge and a tip. We will be back soon!"
What a great place - give it a try,Date of visit: January 2020,We ate here as a reasonably large group in the private dining room. Admittedly most of us were not vegans but we were all absolutely delighted by the experience. The dishes on offer were superb. Excellent selection of cocktails and desserts too. Great service.What I would say is that it is very popular and they don’t have a booking policy apart from the private dining room. We ate early on a Thursday evening but as we were going in the door people were coming out saying that was a 1.5 hour wait.
Fab vegan food in London,>,What amazing food ! There are quite a few choices here too. I had the Thai curry and definitely will go back for more !
Best food we had on our London Trip,>,My daughter and I went to this fabulous restaurant in Soho last week when we were in London. My daughter is a vegetarian but I’m not. I could not believe how good the food was! If only we had found this great restaurant at the beginning of our trip we would of went back several times. I loved the food because it was flavorful and tasted homemade. Even the dessert was excellent. We had the blood orange pistachio cake with orange sorbet. Yum! If you are looking for some fantastic food and great service this is the place to go!
Above par!,>  >,"Absolutely above par! Such a great concept for the modern millennial. As a couple of friends and I were doing veganuary/dry Jan, this was the perfect choice for a catch up dinner. Luckily we got in early and out our name on the wait list and also managed to get a seat in the waiting area. Within 15 minutes the queue for a table was heaving but it was a nice atmosphere and as there’s plenty of seating space the queue moved pretty quickly. We were welcomed with a dry January drinks menu to our delight! Once we were seated the service was casual yet efficient. Food was fantastic. We had gnocchi, a ‘chicken’ burger and ‘duck’ bahn mis. The flavours were phenomenal, enjoyed every single bite! Drinks were also a hit. Would highly recommend."
Lovely vegetarian restaurant,Date of visit: January 2020,I have been meaning to try this place for ages and it did not disappoint. A mid week lunch time was very busy but we were quickly seated and served with wonderful bean and parsnip sausage and mash and a beetroot burger. Having been a fan of Cranks years ago I feel this is a great alternative which is not Asian food A smart if small venue in Soho .
,,
Absolutely loved it! 🙂,>  >  >,Absolutely loved it! Been vegetarian for 30 years and started vegan this month. The food is lush and the desserts are to die for. Love ambience and the service. Would really recommend.
