Title,Title_link,partial_entry,rev_wrap,Headline,Field1
Vegan buffe in trendy setting,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r537409516-Tibits-London_England.html,"Love the buffe, the setting in calm Heddon street just off Regent street , beside Burberry ! 

Hidden gem with great selection of dishes , lunch comes with a plate and you pay per weight , lunch 2,5£ per 100 gr ! Somewhat pricey perhaps...More","<img src=""https://media-cdn.tripadvisor.com/media/photo-l/11/22/d6/36/photo0jpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""287495734"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/11/22/d6/37/photo1jpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""287495735"" /> >",Vegan buffe in trendy setting,"Love the buffe, the setting in calm Heddon street just off Regent street , beside Burberry ! Hidden gem with great selection of dishes , lunch comes with a plate and you pay per weight , lunch 2,5£ per 100 gr ! Somewhat pricey perhaps but worth it I feel !"
"Great concept, but overpriced",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r536246356-Tibits-London_England.html,"Unique concept of completely vegetarian option buffet. However I found it to be lot of salads and not a great variety of cooked vegetarian hot dishes to eat.

It's also overpriced.. maybe because its in Mayfair? but to have to serve yourself, go to the...More",Date of visit: November 2016,"Great concept, but overpriced","Unique concept of completely vegetarian option buffet. However I found it to be lot of salads and not a great variety of cooked vegetarian hot dishes to eat.It's also overpriced.. maybe because its in Mayfair? but to have to serve yourself, go to the counter and get your plate weighed and pay.. might as well go to a sit down vegetarian restaurant."
Delicious vegetarian buffet.,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r534596356-Tibits-London_England.html,"VENUE
Situated on a pretty side street in Mayfair, the interior of this restaurant is clean, modern and relaxed. The seating may be a little utilitarian for some, but overall this is a nice place for a meal.

FOOD
This serve yourself restaurant serves tasty...More",Date of visit: September 2017,Delicious vegetarian buffet.,"VENUESituated on a pretty side street in Mayfair, the interior of this restaurant is clean, modern and relaxed. The seating may be a little utilitarian for some, but overall this is a nice place for a meal.FOODThis serve yourself restaurant serves tasty vegetarian cuisine and charges by weight. I have been here twice now and the selection was almost 100% different from one occasion to the next. I had a bit of everything and it was all delicious. Even meat-eaters will find plenty that they can enjoy here.SERVICEThere is no ‘service’ in the classic sense because the restaurant is self-service, however the staff are polite and friendly."
My favourite restaurant - a real gem,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r534367139-Tibits-London_England.html,I have been going to tibits for going on ten years now - maybe even longer. It has only gotten better with time. Getting a takeaway box is also a great idea and eating it in Green Park makes for one of my favourite days...More,Date of visit: September 2017,My favourite restaurant - a real gem,I have been going to tibits for going on ten years now - maybe even longer. It has only gotten better with time. Getting a takeaway box is also a great idea and eating it in Green Park makes for one of my favourite days out. Most of the foo dis vegan I would say and it is very clearly signposted as to what is and what isn't. After a few visits you get the hang of not mixing up your food if you don't want - I even put dessert and main dishes in my takeaway box and they end up fine. Very tasty food and it may be slightly expensive but totally worth it. The heavier foods do end up costing more but they should fill you up more so there is logic in their pay for what you take system as this also reduces waste and it isn't poor quality buffet food anyway. The juices are also great although I would always recommend the passionfruit lemonade.
Healthy & tasty food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r534232443-Tibits-London_England.html,A spacious cafe with nice outdoor area. The food offered is healthy. There is a salad bar and the ingredients are fresh. Dressings are addictive. I ended my meal with tasty Indian tea. Good serive and prices.,Date of visit: October 2017,Healthy & tasty food,A spacious cafe with nice outdoor area. The food offered is healthy. There is a salad bar and the ingredients are fresh. Dressings are addictive. I ended my meal with tasty Indian tea. Good serive and prices.
Lunch with my children,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r533152794-Tibits-London_England.html,"Delicious food, all vegan on a Tuesday when we visited. There is so much variety, I could've eaten everything! Amazing textures and flavours, not the stereotype some people would expect for vegan food. Absolutely nothing could be done to improve it!",Date of visit: October 2017,Lunch with my children,"Delicious food, all vegan on a Tuesday when we visited. There is so much variety, I could've eaten everything! Amazing textures and flavours, not the stereotype some people would expect for vegan food. Absolutely nothing could be done to improve it!"
Great place..great food !,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r532699996-Tibits-London_England.html,They sell food by weight and if you are looking for good veg food then you must visit this place. It has a wide variety of Indian food stuff from veg biriyani to daal tadka and I just loved it. Much better than those fake...More,Date of visit: October 2017,Great place..great food !,They sell food by weight and if you are looking for good veg food then you must visit this place. It has a wide variety of Indian food stuff from veg biriyani to daal tadka and I just loved it. Much better than those fake Michelin star restaurants like Benaras and Tamarind in the area !
Definitely one of my favourite places for lunch in central London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r532051688-Tibits-London_England.html,"If you are in central London near Regent Street then it is well worth seeking out this really good vegetarian restaurant. 
It is unusual in that you serve yourself to a delicious range of truly delicious veggie food (vegan on Tuesdays) and then you have...More",Date of visit: September 2017,Definitely one of my favourite places for lunch in central London,If you are in central London near Regent Street then it is well worth seeking out this really good vegetarian restaurant. It is unusual in that you serve yourself to a delicious range of truly delicious veggie food (vegan on Tuesdays) and then you have your plate weighed and pay accordingly. I just love it and also their range of fruit cocktails. You really don't have to be a vegetarian to enjoy this place - I often take friends and they like it too and often go back too.
veggie love,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r531056206-Tibits-London_England.html,"Interesting good place, found it funky and the menu is at its best.
waiting staff is good and i will come back for more",Date of visit: October 2017,veggie love,"Interesting good place, found it funky and the menu is at its best.waiting staff is good and i will come back for more"
So much Heathy food to choose from!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r528327983-Tibits-London_England.html,"Think Whole Foods Salad Bar multiplied by 10. This is a restaurant where the food is weighed and you get to choose from many delicious vegan/vegetarian dishes, salads/ appetizers, and desserts. There's also drinks but I can't remember the separate price for those. I got...More","<img src=""https://media-cdn.tripadvisor.com/media/photo-l/10/d0/fa/92/vegetarian-a-la-carte.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""282131090"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/10/d0/fa/96/the-receipt-for-the-meal.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""282131094"" /> >",So much Heathy food to choose from!,"Think Whole Foods Salad Bar multiplied by 10. This is a restaurant where the food is weighed and you get to choose from many delicious vegan/vegetarian dishes, salads/ appetizers, and desserts. There's also drinks but I can't remember the separate price for those. I got a pretty good sized meal, including quinoa cakes, samosas, salads, and vegan raspberry cheesecake. Yum. The price was reasonable too, about 13 GBP or $16 U.S. dollars. It's an actual restaurant and the ambience is delightful. There's no grocery store attached like at Whole Foods. You won't be disappointed if you are a vegan or vegetarian or have a special diet because every item has the ingredients listed."
,,,,,
Good for vegans,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r527965663-Tibits-London_England.html,I do enjoy eating here although not a vegan or vegetarian myself.  There is a wide range of tasty dishes and its nice to try new things. Self service so can end up costing moe than you would think. Could do with a spruce up...More,Date of visit: May 2017,Good for vegans,I do enjoy eating here although not a vegan or vegetarian myself. There is a wide range of tasty dishes and its nice to try new things. Self service so can end up costing moe than you would think. Could do with a spruce up inside.
