Title,Title_link,rev_wrap,Field1,Field2,Field2_link,Field3
First Time!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r383579147-Tibits-London_England.html,"<img src=""https://media-cdn.tripadvisor.com/media/photo-f/0b/a7/2b/dc/20160617-124805-largejpg.jpg""  class=""centeredImg noscript"" style="" min-height:60px; "" height=""100%""data-mediaid=""195505116"" /> >","This was my first visit to Tibits, but also my first ever visit to a vegetarian restaurant. 

The concept is great. Pick your food, weigh it at the counter, pay, repeat until full. 

The one plate was enough for me and it was affordable too...More",First Time!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r383579147-Tibits-London_England.html,"This was my first visit to Tibits, but also my first ever visit to a vegetarian restaurant. The concept is great. Pick your food, weigh it at the counter, pay, repeat until full. The one plate was enough for me and it was affordable too at 9.50; I am a big eater too and this was suffice. The food was outstanding. Everything I tried had amazing flavours. The falafel was excellent. Tofu even better. Paella, Indian Dahl and rice all very good. No comment on service as you order drinks and pay at the bar. Was lovely to be able to sit outside in the sun though. Quick or slow to suit your needs, this was an ideal lunch setting. I'll be back and next time it will be for breakfast."
WOW- THE COOLEST CONCEPT AND DELICIOUS FOODS!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r383496555-Tibits-London_England.html,Date of visit: June 2016,"Absolutely love the self service way of helping yourself to the beautiful, bountiful buffet. Very flavorful and quite healthy. Place was packed for a good reason! In a fun alley - very lively location.",WOW- THE COOLEST CONCEPT AND DELICIOUS FOODS!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r383496555-Tibits-London_England.html,"Absolutely love the self service way of helping yourself to the beautiful, bountiful buffet. Very flavorful and quite healthy. Place was packed for a good reason! In a fun alley - very lively location."
Love it every time,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r383249505-Tibits-London_England.html,Date of visit: June 2016,Since I first discovered the place I go there every time I go to London. It's a superb buffet. The food is completely vegetarian (and vegan I believe) and you pay by the weight. They change the recipes according to seasons. Too bad you can't...More,Love it every time,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r383249505-Tibits-London_England.html,Since I first discovered the place I go there every time I go to London. It's a superb buffet. The food is completely vegetarian (and vegan I believe) and you pay by the weight. They change the recipes according to seasons. Too bad you can't have alcohol drinks to take away like I wanted to! It's on the little Heddon Street and it's really a good restaurant.
Amazing place to eat and a whacky way to pay by weight,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r382804387-Tibits-London_England.html,Date of visit: May 2016,Love this place and the food amazing. Vegetarian or a meat eater this is a great place for food and its great value for money. I love to try most things and to be honest there is lots to try food wise. The idea of...More,Amazing place to eat and a whacky way to pay by weight,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r382804387-Tibits-London_England.html,Love this place and the food amazing. Vegetarian or a meat eater this is a great place for food and its great value for money. I love to try most things and to be honest there is lots to try food wise. The idea of paying for your food and paying by weight works great and its cost effective. My girlfriend keeps on about this place and we will be coming back. 10/10 for the food and the décor amazing. superb place to check out if your in the area.
Veggie gem,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r382731083-Tibits-London_England.html,Date of visit: June 2016,"Ok this is not a place for a cheap veggie salad, but it was exceptionally tasty. I had a takeaway large box and I selected lots of different vegetarian (the restaurant is veggie) salads. They were all fresh, clearly marked whether they contained milk, gluten,...More",Veggie gem,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r382731083-Tibits-London_England.html,"Ok this is not a place for a cheap veggie salad, but it was exceptionally tasty. I had a takeaway large box and I selected lots of different vegetarian (the restaurant is veggie) salads. They were all fresh, clearly marked whether they contained milk, gluten, nuts etc and so tasty. I could've tried a lot more and definitely will be going back to try some of the hot food."
Amazing!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r382439442-Tibits-London_England.html,Date of visit: June 2016,This place is so amazing and I totally recommend it.  We went on a Tuesday when everything is Vegan.  I can honestly say that this is one of the best vegetarian restaurants also one of the best buffet style restaurants I have ever been to....More,Amazing!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r382439442-Tibits-London_England.html,This place is so amazing and I totally recommend it. We went on a Tuesday when everything is Vegan. I can honestly say that this is one of the best vegetarian restaurants also one of the best buffet style restaurants I have ever been to. I'll be back Tibits!
Irregular but good,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r382149131-Tibits-London_England.html,Date of visit: May 2016,"I've been twice to Tibits. The first time I went there, I loved it. The second time I went there, I didn't like it that much. Apparently the menu changes quite often, but I didn't know that, and almost all the things I liked the...More",Irregular but good,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r382149131-Tibits-London_England.html,"I've been twice to Tibits. The first time I went there, I loved it. The second time I went there, I didn't like it that much. Apparently the menu changes quite often, but I didn't know that, and almost all the things I liked the most the first time I went there, were gone the second time.I really really loved the Swedish meatballs, but in my favorites were also the green beans and mac&cheese.For dessert I got tiramisu. I love tiramisu, but this one tasted a lot like amaretto, so you really have to like amaretto to like this tiramisu. I am not a fan of amaretto, but I ate it anyway. In the end, it was tiramisu :)"
Great vege place!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r382126512-Tibits-London_England.html,Date of visit: June 2016,"This place was recommended to me by a vegan living in London and I went there with my vegetarian, slightly picky niece (and I'm lactose intolerant myself). The lunch buffet was great, lots of options and all were clearly marked. Tasty, varied, healthy. And the...More",Great vege place!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r382126512-Tibits-London_England.html,"This place was recommended to me by a vegan living in London and I went there with my vegetarian, slightly picky niece (and I'm lactose intolerant myself). The lunch buffet was great, lots of options and all were clearly marked. Tasty, varied, healthy. And the desserts were delicious! The ""choose your lunch and pay by food weight"" system is very good, you don't pay for a big lunch and then leave food on plate when the portion is too big for you. Had to queue a bit but it wasn't too bad. A very nice place!"
Over estimated salad bar: I.e a rip off,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r381470968-Tibits-London_England.html,Date of visit: June 2016,"I am a vegetarian and I met a vegan friend for dinner so we thought this could be a good idea. I knew already it was a self service vegetarian place so I was expecting a very casual environment, while it actually is a ""trendy""...More",Over estimated salad bar: I.e a rip off,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r381470968-Tibits-London_England.html,"I am a vegetarian and I met a vegan friend for dinner so we thought this could be a good idea. I knew already it was a self service vegetarian place so I was expecting a very casual environment, while it actually is a ""trendy"" self service salad bar. You fill in your plate with food without knowing prices, but it is easy to think ""why should I worry about money in a self service place?"" And then end up spending 30 pounds for a plate of vegetables, a glass of wine and a tiny piece of desert: a rip off.  With that price in London you can go in many restaurants, sit down, have great food and wine and enjoy your night. Tibits is just going to be a waist of your Time and money."
100% delicious,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r381451892-Tibits-London_England.html,Date of visit: June 2016,"Perfect quiet spot off Regent Street. Lunch is a buffet style selection of vegan dishes. I tried most of them - all tasty, nutritious and nourishing. Love sitting outside - the restaurant has a sunny spot.",100% delicious,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r381451892-Tibits-London_England.html,"Perfect quiet spot off Regent Street. Lunch is a buffet style selection of vegan dishes. I tried most of them - all tasty, nutritious and nourishing. Love sitting outside - the restaurant has a sunny spot."
