Title,Title_link,partial_entry,rev_wrap,Headline,Field1
Pure indulgence,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r420457259-Mildreds_Soho-London_England.html,"Such an amazing little restaurant. Amazing cocktails, food and fun happy service. Lovely staff. I recommend the Sri Lankan curry which is utterly divine! Plus the brownie! A MUST for vegans!",Date of visit: May 2016,Pure indulgence,"Such an amazing little restaurant. Amazing cocktails, food and fun happy service. Lovely staff. I recommend the Sri Lankan curry which is utterly divine! Plus the brownie! A MUST for vegans!"
I love Mildreds,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r419874112-Mildreds_Soho-London_England.html,"Mildreds is great. I'm always coming here with a friend or two and always order the sweet potato chips and the burrito.  Love it. It's always jam packed and very loud, so be aware of that. I've also been going to the new Camden branch...More",Date of visit: October 2015,I love Mildreds,"Mildreds is great. I'm always coming here with a friend or two and always order the sweet potato chips and the burrito. Love it. It's always jam packed and very loud, so be aware of that. I've also been going to the new Camden branch which is great too."
"Tasty, tasty very very tasty",https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r419667674-Mildreds_Soho-London_England.html,"Most people know that you have to wait for a table and so that made our wait easier. We got a number and were told it could be 35mins. That was absolutely fine and it was Saturday lunchtime during LFW.

We wandered off and came...More",Date of visit: September 2016,"Tasty, tasty very very tasty","Most people know that you have to wait for a table and so that made our wait easier. We got a number and were told it could be 35mins. That was absolutely fine and it was Saturday lunchtime during LFW.We wandered off and came back to a drink and our table. The wine was spot on so that set a good first impression.It is noisy and crammed, but that's part of the experience I guess. For the restaurant chain it will ensure a quick turn around of diners.For London, the food is 'proper' food-fresh and tasty. The tagine was served with cold quinoa which didn't really work. We didn't have dessert as the portions are big and we shared chips.Service throughout was cheerful and speedy. Water was complimentary which is a rare find in the city."
Veggie restaurant in heart of Soho,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r418859244-Mildreds_Soho-London_England.html,"Second visit. First one for dinner. Sat night. Absolutely heaving. No booking policy meant we had to wait, on premises ( v crowded and noisy) for over an hour for a table. Service fine nothing remarkable. Seating a very close squeeze. We just had mains....More",Date of visit: September 2016,Veggie restaurant in heart of Soho,"Second visit. First one for dinner. Sat night. Absolutely heaving. No booking policy meant we had to wait, on premises ( v crowded and noisy) for over an hour for a table. Service fine nothing remarkable. Seating a very close squeeze. We just had mains. Food was tasty and well portioned but not amazing. Price reasonable. If you want a buzzy atmosphere whilst eating your perfectly pleasant veggie dinner then this is the place for you. If you have a more refined palate or prefer less crush and more privacy, then don't go here. My first visit was a mid week lunch. Altogether a different more relaxing experience."
Delicious vegetarian/vegan food but too noisy for conversation,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r418385379-Mildreds_Soho-London_England.html,Mildred's is a great choice for those looking for delicious vegetarian/vegan fare in central London. However the incredibly noisy dining room made conversation virtually impossible for me and my companion -  as a result I would not go back nor recommend it to others. Not...More,Date of visit: September 2016,Delicious vegetarian/vegan food but too noisy for conversation,Mildred's is a great choice for those looking for delicious vegetarian/vegan fare in central London. However the incredibly noisy dining room made conversation virtually impossible for me and my companion - as a result I would not go back nor recommend it to others. Not being able to book a table in advance is also a huge negative for any restaurant even with the excellent cocktails on offer at Mildred's. The overall rating is a blend of Excellent for the Food and Poor for the noise and inconvenience of the no bookings policy
Fine food in a crammed environment,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r418211192-Mildreds_Soho-London_England.html,"Before visiting Mildred's, I had read up on the restaurant and knew that it could be difficult to get a table, which turned out to be the case. On the other hand, my friend and myself spent 10 minutes or so chatting at the tiny...More",Date of visit: August 2016,Fine food in a crammed environment,"Before visiting Mildred's, I had read up on the restaurant and knew that it could be difficult to get a table, which turned out to be the case. On the other hand, my friend and myself spent 10 minutes or so chatting at the tiny bar instead, not bad at all. When we got a table in the fairly small room crammed full of tables and chairs, both of us reflected on the fact that it was quite noisy due to the place being packed with people talking. On the other hand, the menu was full of tempting dishes. There were many vegan dishes on the menu and if you are gluten intolerant, there are many things you can eat at Mildred's.The food was really good and the portions were big enough for me not to crave dessert, even though I was tempted. The service was quick and friendly. If you can stand being close to people while eating and can endure the volume of a roomful of people talking, you are in for a treat!"
Packed with flavoiur,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r418035520-Mildreds_Soho-London_England.html,"Tried hard to find a place in central London for vegan food that (a) wasn't an Indian restaurant and (b) wasn't vastly overpriced.  Mildred's was within walking distance from Covent Garden and proved to be worth the 10 minutes walk. 

A small and narrow venue,...More",Date of visit: September 2016,Packed with flavoiur,"Tried hard to find a place in central London for vegan food that (a) wasn't an Indian restaurant and (b) wasn't vastly overpriced. Mildred's was within walking distance from Covent Garden and proved to be worth the 10 minutes walk. A small and narrow venue, but the tables weren't totally crammed in - though it is cosy. The serving staff were friendly and the menu had a good variety. The burger was excellent as were the sweet potato fries and avocado mousse. Salads were also tasty. The food arrived promptly and the atmosphere was buzzy. We were there at 2pm and it was still pretty packed. I suspect queues are frequent at popular times. Worth a visit definitely."
Delicious!,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r417411626-Mildreds_Soho-London_England.html,A delicious meal all round. Managed to introduce some sceptical omnivore friends to vegan burgers and they were thoroughly impressed! Desert truffles were a little disappointing at nearly £4 for a mouthful but otherwise highly recommended.,"<img src=""https://media-cdn.tripadvisor.com/media/photo-l/0c/ed/9e/2d/img-20160903-201256-largejpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""216899117"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/0c/ed/9e/2e/img-20160903-200643-largejpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""216899118"" /> >",Delicious!,A delicious meal all round. Managed to introduce some sceptical omnivore friends to vegan burgers and they were thoroughly impressed! Desert truffles were a little disappointing at nearly £4 for a mouthful but otherwise highly recommended.
First timer at Mildreds,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r416880289-Mildreds_Soho-London_England.html,"My husband and I were meeting friends at Mildreds this afternoon for a late lunch. We expected it would be busy as they don't take bookings, but upon arrival it seemed rather disorganised. Nobody came to us on arrival, and there were others standing around....More",Date of visit: September 2016,First timer at Mildreds,"My husband and I were meeting friends at Mildreds this afternoon for a late lunch. We expected it would be busy as they don't take bookings, but upon arrival it seemed rather disorganised. Nobody came to us on arrival, and there were others standing around. My husband asked the bar man basically what do we do, the bar man rudely addressed us, saying no its too busy, it will be atleast an hour, there is noting having more people in here cause there is no room?? My husband asked for a number which others who were waiting had. The bar man had no interest in advising us what was protocol. Soon a manager came over and took our name and gave us a number, we were told it would be about half hr. We ordered a drink and patiently waited. Unfortunately the bar man ruined our experience as well as our friends, which is a shame because actually the food was very good and reasonably priced. Not sure I will be in a rush to go back though."
Great for vegan and gf!,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r416865725-Mildreds_Soho-London_England.html,"The brown rice tofu stir fry with cashews was piping hot and gorgeous, came out after about 15 minutes so pretty quick. As a coeliac vegan I'm used to not having many options but there were many choices here! All of which looked fabulous. If...More",Date of visit: September 2016,Great for vegan and gf!,"The brown rice tofu stir fry with cashews was piping hot and gorgeous, came out after about 15 minutes so pretty quick. As a coeliac vegan I'm used to not having many options but there were many choices here! All of which looked fabulous. If you can go by yourself or as a twosome you'll more than likely get a table without a wait. :)"
,,,,,
Fab food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r416834033-Mildreds_Soho-London_England.html,"Lovely food an atmosphere, despite it being nice very busy we were seated fairly quickly! Great vegetarian selection with creative and delicious menu options as well as some good cocktails.",>,Fab food!,"Lovely food an atmosphere, despite it being nice very busy we were seated fairly quickly! Great vegetarian selection with creative and delicious menu options as well as some good cocktails."
Fabulous evening!,https://www.tripadvisor.com/ShowUserReviews-g186338-d720047-r416342651-Mildreds_Soho-London_England.html,"What a fabulous evening in Soho. We arrived on Saturday evening around 5:45. There were no tables but joined a well organised queue. Drinks and cashew nuts with lime +chilli whilst we waited with a number. After approx 20 mins we were seated.
We chose...More",Date of visit: September 2016,Fabulous evening!,What a fabulous evening in Soho. We arrived on Saturday evening around 5:45. There were no tables but joined a well organised queue. Drinks and cashew nuts with lime +chilli whilst we waited with a number. After approx 20 mins we were seated.We chose artisan bread/olives to start followed by sweet potato curry which was delicious. Pudding peanut butter brownie with ice cream and a poached pears with ice cream (shared). A lovely evening with good company in a great atmosphere
