Title,Title_link,partial_entry,rev_wrap,Headline,Field1
Please dont go here no matter what Instagram says,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r748526272-By_CHLOE-London_England.html,"I've been meaning to visit here for a very long time. I was highly disappointed.  The staff were lovely though I cant fault them

As a vegan all lives matter including the environment and apart from the bad food I feel more obliged to talk...More",Date of visit: March 2020,Please dont go here no matter what Instagram says,"I've been meaning to visit here for a very long time. I was highly disappointed. The staff were lovely though I cant fault themAs a vegan all lives matter including the environment and apart from the bad food I feel more obliged to talk about the amount of unnecessary waste of plastic. I get that its biodegradable but thats still waste. Everything comes on/in cardboard or plastic. The sauce holders are plastic, the cups the knifes and forks. The salads are in cardboard as are the plates, there are no mugs its all takeaway cup coffee. Why? I just dont get it. I saw a review from early last year saying they were looking into more sustainable ways....come on its been a year and I'm sure its been brought up before. Is it because the cost of plates? The cost of having someone wash up the plates? The cost of staff then having to table wait? All the answers seem like they head to profit for the place (sorry i cant even call it a restaurant because its not). My friend had a slad costing her ten pounds, it consisted of mainly lettuce 4 tiny cubes of avocado and 3 croutons.... she was still hungry after. 10 pounds! Come on there wasnt even any seitan or anythinh in a caesar salad. I had some form of mock chicken burger which was breaded and fell apart in my hands.The cheese was overpowering there was so much of it and it didn't taste nice at all. The lemonade wasnt just lemon it had some other flavour which isnt mentioned at all. The signage of then how to dispose of all this plastic is non existent so you then have to go through your mound of cardboard and plastic to see what goes where. Does stuff contaminated with food go in recycling? It honestly needs so much work and I'm sorry for having to write such a negative review but it was upsetting at how little effort has gone into this place. Its essentially an Instagram trap with neon lights and hanging chairs to take pictures and get likes. I really sincerely hope this place changes"
"Rubbish everywhere, plain food.",https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r748464586-By_CHLOE-London_England.html,"Wherever you wanted to sit the tables were full of rubbish. 
The waiter wasn’t much help but the waitress was lovely and helpful.
Beet ketchup and Chipotle sauce was very tasty.
Burger was cold, plenty of chips which were nice. Great presentation too.
Just disappointed...More",Date of visit: February 2020,"Rubbish everywhere, plain food.","Wherever you wanted to sit the tables were full of rubbish. The waiter wasn’t much help but the waitress was lovely and helpful.Beet ketchup and Chipotle sauce was very tasty.Burger was cold, plenty of chips which were nice. Great presentation too.Just disappointed with the burger - not much taste to it.Would only go back if there was nothing else."
One of the best mac and cheese I ever had !,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r746126419-By_CHLOE-London_England.html,"I was thrilled to find this restaurant did so many vegan and veggie options. There is a great selection of things to pick from. Which makes me want to go back and try some of the other options. 

The mac and cheese is insanely good!...More",Date of visit: February 2020,One of the best mac and cheese I ever had !,"I was thrilled to find this restaurant did so many vegan and veggie options. There is a great selection of things to pick from. Which makes me want to go back and try some of the other options. The mac and cheese is insanely good! I thought given the size I would not be full, but I was pleasantly surprised. I have also enjoyed the kale and tempeh salad which has a gorgeous dressing on it. The only thing I was disappointed by so far is the fake chicken. I will certainly be making this place a regular stop off."
Good food,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r745921845-By_CHLOE-London_England.html,"This was one of the reasons one of our party came to  London.  They loved the burger, and the non-vegan enjoyed the guac burger but found it a bit messy to eat as it was large and served in a bag not on a plate...More",Date of visit: February 2020,Good food,"This was one of the reasons one of our party came to London. They loved the burger, and the non-vegan enjoyed the guac burger but found it a bit messy to eat as it was large and served in a bag not on a plate (probably an age thing!). Cookies were tasty. Price was acceptable for the area. Decor was fresh but I am not a fan of chairs with a hole in the back so your coat falls through onto the floor. It’s generally a fun, young person’s place and they all looked happy."
Tasteless fish and chips,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r744110095-By_CHLOE-London_England.html,"The place is nicely decorated but metal chairs are cold and uncomfortable. The tofu fish had no taste, the chips were awful and the mushy peas even worse. The mac and cheese was nice but very difficult to eat out of a cup. Cakes looked...More",Date of visit: February 2020,Tasteless fish and chips,"The place is nicely decorated but metal chairs are cold and uncomfortable. The tofu fish had no taste, the chips were awful and the mushy peas even worse. The mac and cheese was nice but very difficult to eat out of a cup. Cakes looked nice but waiter served us the wrong one. I wanted blueberry but after eating half looking for the blueberries and realizing it was just a lemon muffin, couldn't change it. All the cakes taste of lemon, fine if you like lemon! They do sell beer (5,50 a bottle.) The server couldn't speak English so I suggest they put pictures of the food and drinks at the tills for customers to point to. We wouldn't go back. I suppose if they called it a coffee bar and not a restaurant you'd go in with a different mindset, accepting the mcdonalds like plastic cutlery, throw away plates and queue to order. A lot of wadte for a vegan place. Not for us unfortunately"
Good Vegan Food.,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r743889390-By_CHLOE-London_England.html,"If you've been to by CHLOE in New York City, it's the same, just in London.  Casual dining. Vegan comfort food.

Food is great. Place is crowded, so know what you're going to order before you step up to the counter, and get out of...More",Date of visit: February 2020,Good Vegan Food.,"If you've been to by CHLOE in New York City, it's the same, just in London. Casual dining. Vegan comfort food.Food is great. Place is crowded, so know what you're going to order before you step up to the counter, and get out of the way once you've ordered. Good luck finding a table. We took our food back to the hotel. It was delicious, as expected."
Great staff and food,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r743602726-By_CHLOE-London_England.html,"I went yesterday for the first time to a vegan restaurant as I'm transitioning to a plant based diet.  The food was delicious and staff are super friendly and welcoming for a first timer.  I had lunch, smoothie and of course sampled the amazing, straight...More","<img src=""https://media-cdn.tripadvisor.com/media/photo-l/1a/d3/ef/ba/smashed-avocado-toast.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""450097082"" /> >",Great staff and food,"I went yesterday for the first time to a vegan restaurant as I'm transitioning to a plant based diet. The food was delicious and staff are super friendly and welcoming for a first timer. I had lunch, smoothie and of course sampled the amazing, straight out the oven! choc chip cookies and espresso cookie. To die for! Thank you guys, I will def be back on my next visit to London."
"Vegan starters diner
It was",https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r743347174-By_CHLOE-London_England.html,"Vegan starters diner
It was my first visit to this restaurant.
It was a short visit but the choice of food was very good.
I ordered the classic burger with baked sweet potato “fries” and my company had the Guaco burger with the same side....More",Date of visit: February 2020,"Vegan starters diner
It was",Vegan starters dinerIt was my first visit to this restaurant.It was a short visit but the choice of food was very good.I ordered the classic burger with baked sweet potato “fries” and my company had the Guaco burger with the same side.The staff was very good and polite and helpful.It was a fast food experience but without the cliche fast food atmosphere.It was a good choice and will be again in the future
Give the burgers a miss and get a salad!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r742832075-By_CHLOE-London_England.html,"We went here after a quick visit to the British Museum (about 10 minute walk away) 

After doing Veganuary and deciding to stick with it, we wanted to try out an exclusively vegan place. I've been veggie for 20 years, but my partner has gone...More",Date of visit: February 2020,Give the burgers a miss and get a salad!,"We went here after a quick visit to the British Museum (about 10 minute walk away) After doing Veganuary and deciding to stick with it, we wanted to try out an exclusively vegan place. I've been veggie for 20 years, but my partner has gone straight from eating meat and dairy to following a vegan diet. We ordered a burger with chips and a Quinoa Taco salad and halved everything to share. Even though it was delicious, I thought the burger was really quite small. It was more like a large starter! Chips were expensive too at £4. Both sauces were amazing though, especially the beetroot ketchup! The salad was the winner for me here and I'd definitely get that again - the spicy seiten was amazing! Glad we went but will probably try a few of the other vegetarian/vegan restaurants and cafes around the area before coming back!"
Not great,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r742770595-By_CHLOE-London_England.html,"Popped in here for a quick lunch before the theatre. Husband had a burger and my son and I had mac and cheese. Definitely not the best vegan mac and cheese I’ve had, below average I would say although the crispy mushroom bacon was nice....More","<img src=""https://media-cdn.tripadvisor.com/media/photo-l/1a/ca/01/79/photo0jpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""449446265"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/1a/ca/01/7a/photo1jpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""449446266"" /> >",Not great,"Popped in here for a quick lunch before the theatre. Husband had a burger and my son and I had mac and cheese. Definitely not the best vegan mac and cheese I’ve had, below average I would say although the crispy mushroom bacon was nice. Husband said he enjoyed the burger. Staff weren’t very friendly, one cleared away my husband’s cupcake half way through eating it and then tipped a tray full of cups into my lap with very little apology. Only really visited as we were in Covent Garden with not a lot of time, would only visit again if in the same situation, over priced and uninspiring."
,,,,,
